"","M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source"
"28",5,4,5,5,4,4,5,1,5,1,4,1,1,5,5,1,2,2,3,1,1,2,2,1,4,5,4,"US",3
"29",2,2,3,3,2,3,3,2,2,4,4,3,2,3,4,2,4,3,2,3,2,2,2,2,4,2,2,"GB",1
"30",4,3,3,2,2,2,4,3,4,2,4,3,2,3,3,2,4,2,3,4,2,2,4,3,5,4,2,"US",3
"31",4,2,2,1,1,4,4,2,4,4,4,2,2,5,4,3,2,2,2,4,1,1,4,1,4,1,1,"HR",1
"32",5,1,4,4,4,4,4,4,4,3,4,3,3,4,4,2,3,4,1,5,2,2,1,3,5,2,2,"US",3
"33",5,5,4,4,5,5,5,3,5,4,5,2,5,3,1,1,1,5,5,1,4,2,4,5,5,3,3,"CA",3
"34",4,3,2,3,1,1,3,3,2,4,4,4,2,3,4,3,3,4,1,5,1,1,1,2,5,1,2,"GB",1
"35",4,1,4,2,2,1,4,3,4,4,3,2,3,4,4,2,5,3,1,2,1,2,4,1,5,1,3,"US",3
"36",4,1,1,4,4,4,4,4,3,4,4,2,1,2,5,3,4,4,2,4,2,4,3,3,2,2,3,"EE",3
"37",5,4,4,4,3,5,5,3,4,3,3,1,2,4,5,4,2,1,2,4,1,1,1,1,5,2,4,"NL",2
"38",3,5,5,4,5,5,5,4,5,5,1,5,4,5,1,4,1,5,2,3,5,5,5,5,5,2,5,"US",1
"39",5,4,4,4,4,4,5,4,4,4,3,3,4,4,2,4,2,4,4,2,3,3,5,3,4,5,4,"GB",1
"40",5,1,1,1,4,3,5,4,4,2,3,1,1,2,1,1,1,5,3,5,1,1,4,1,5,5,3,"IT",1
"41",4,4,3,2,4,2,5,5,2,2,4,2,1,3,4,2,5,2,1,3,2,1,5,2,1,2,3,"US",1
"42",4,5,5,5,5,5,4,5,5,2,3,2,4,3,3,5,1,4,5,4,2,2,5,2,4,2,4,"PH",1
"43",5,4,2,3,4,5,5,2,4,2,2,1,1,2,3,4,4,3,3,5,2,4,4,2,1,2,3,"US",1
"44",1,4,3,4,4,3,5,2,4,3,3,3,3,3,2,3,2,2,2,2,2,2,4,4,5,4,3,"ID",3
"45",4,4,3,3,4,4,4,4,4,4,3,3,2,2,3,1,3,5,4,3,3,3,4,4,4,1,2,"NO",3
"46",4,3,5,4,4,4,2,3,4,2,3,2,2,4,4,2,4,3,2,5,2,2,2,2,5,1,2,"US",3
"47",5,5,5,5,5,5,5,3,5,5,4,3,2,4,4,2,2,5,5,3,4,2,5,5,4,2,1,"DK",1
"48",4,2,4,3,4,4,4,3,1,4,4,2,4,4,4,3,2,3,3,4,4,2,5,4,4,1,4,"ID",3
"49",5,5,5,5,5,4,5,5,5,5,1,5,5,5,1,5,1,5,4,1,4,2,4,4,5,5,5,"US",1
"50",4,5,4,3,5,4,5,3,5,2,3,3,2,4,3,2,3,4,5,3,4,4,4,3,2,3,4,"US",1
"51",5,4,1,4,5,5,5,1,5,4,3,4,3,1,2,3,1,3,5,2,4,1,4,4,5,1,1,"GB",1
"52",5,4,5,5,5,5,5,3,4,4,3,2,5,4,3,4,1,2,4,5,4,5,2,3,5,2,3,"US",1
"53",5,4,5,5,3,4,5,3,4,3,5,3,5,3,5,3,3,3,3,5,3,2,4,2,5,2,3,"US",1
"54",4,5,4,4,1,2,4,5,5,4,5,4,2,5,1,1,1,4,4,3,1,2,5,3,1,5,5,"CA",1
"55",2,4,3,1,5,4,4,5,5,5,1,2,4,2,5,1,4,4,2,4,5,5,5,4,4,1,4,"ID",1
"56",4,3,3,2,2,1,1,1,2,2,1,2,1,1,5,1,3,2,3,4,1,4,1,1,2,2,1,"US",1
"57",4,4,4,4,4,4,4,3,4,4,5,2,3,4,3,3,3,2,2,5,3,4,4,2,5,1,1,"US",3
"58",5,5,4,4,5,5,2,4,4,3,2,4,2,4,3,3,1,5,5,1,5,5,5,4,2,1,5,"US",1
"59",4,5,4,2,4,3,5,4,5,3,4,2,4,4,4,5,1,5,4,3,2,1,5,2,2,5,4,"MX",2
"60",5,5,5,5,5,5,5,5,5,1,5,1,5,5,1,1,1,5,5,5,5,1,5,5,5,5,5,"DO",1
"61",4,2,3,2,4,4,4,3,4,4,3,4,3,4,2,2,3,4,2,2,4,4,4,1,4,3,4,"RO",1
"62",5,4,1,3,4,5,5,2,5,1,1,1,1,2,5,3,2,2,4,1,2,4,4,2,3,3,1,"US",1
"63",4,1,5,2,2,4,5,5,4,3,4,3,3,3,3,4,3,4,3,4,3,1,2,3,5,5,4,"MX",3
"64",5,4,4,4,5,4,5,5,5,4,3,2,5,5,1,4,2,4,4,2,3,2,4,2,2,5,5,"US",1
"65",4,3,2,5,4,3,4,2,4,2,4,3,2,4,4,4,2,2,3,2,2,4,5,2,4,2,3,"US",3
"66",5,5,4,5,4,3,5,3,5,4,4,2,2,3,4,3,2,3,2,2,4,1,4,3,2,3,4,"US",1
"67",5,3,5,2,5,5,5,5,5,5,2,4,4,5,1,4,1,5,5,2,1,2,5,4,1,5,2,"CA",3
"68",5,2,3,2,3,3,5,3,5,1,3,1,1,3,5,4,3,2,3,5,1,1,4,2,5,4,1,"EU",1
"69",2,1,2,2,1,1,3,1,2,4,4,1,2,2,5,2,5,1,1,3,1,1,2,1,5,3,1,"US",3
"70",2,1,1,2,1,1,1,1,2,3,2,2,2,2,3,3,1,1,1,3,1,1,2,1,1,1,1,"US",1
"71",5,1,1,2,3,5,5,2,5,3,3,1,5,2,5,3,5,4,1,2,1,1,1,3,5,1,1,"US",1
"72",4,5,3,5,5,1,5,3,4,5,5,1,1,3,5,1,5,4,4,5,1,1,4,5,2,1,1,"US",3
"73",5,5,5,5,3,1,5,1,5,5,1,1,5,5,1,5,5,1,1,1,1,5,2,1,5,5,5,"US",1
"74",5,2,4,5,4,5,5,5,3,3,3,3,3,2,4,1,4,4,2,2,1,1,5,3,5,2,3,"US",3
"75",5,2,2,3,2,4,5,3,2,1,5,2,2,1,3,2,2,2,4,4,3,2,4,2,4,1,1,"US",1
"76",4,4,4,4,4,3,4,2,4,4,2,2,5,5,4,4,2,4,3,3,2,2,5,3,4,3,2,"US",1
"77",4,3,2,4,2,4,4,3,2,4,3,3,3,5,2,3,4,4,5,3,3,1,5,2,4,2,2,"ID",3
"78",5,5,5,3,5,5,1,1,5,3,1,5,5,5,1,3,1,5,5,1,1,5,5,3,1,1,5,"US",1
"79",5,1,4,5,2,4,5,3,1,2,3,2,2,1,4,4,4,4,1,5,4,4,4,1,5,5,3,"ID",1
"80",5,5,2,3,4,5,5,1,5,5,2,3,4,4,1,1,2,3,3,3,1,1,4,4,5,1,2,"US",1
"81",5,5,4,4,4,4,5,3,4,4,5,2,4,2,3,2,3,5,2,2,1,3,5,5,2,1,5,"CA",1
"82",5,3,1,5,1,5,5,5,5,1,4,1,1,3,5,1,1,4,1,1,5,1,5,5,1,1,1,"US",1
"83",4,4,4,4,5,3,4,5,4,4,1,3,4,4,2,3,3,4,2,4,3,2,5,4,1,3,4,"US",1
"84",4,4,4,4,3,4,4,3,4,4,4,2,3,3,4,3,1,5,3,4,2,1,3,3,4,2,2,"US",1
"85",3,4,4,4,4,3,4,3,3,1,3,3,3,3,3,1,2,3,3,5,3,3,3,3,5,1,4,"US",1
"86",5,5,3,4,5,4,5,4,4,4,2,3,3,4,5,3,3,4,3,5,3,2,5,4,5,4,4,"US",2
"87",5,4,4,4,5,5,5,3,5,4,3,3,2,5,5,1,1,4,3,1,5,1,5,1,5,3,4,"US",1
"88",4,3,4,4,3,3,4,3,4,4,2,3,4,3,2,4,1,2,2,5,3,1,3,2,5,3,1,"US",1
"89",5,3,2,2,3,5,5,2,5,5,5,1,1,3,5,5,5,3,5,3,4,1,5,2,5,5,2,"US",2
"90",4,4,5,4,4,5,5,5,4,1,2,4,2,5,3,2,3,4,3,3,4,2,4,4,5,2,5,"US",1
"91",4,2,3,4,3,3,5,3,2,1,5,1,2,3,4,1,4,2,2,2,1,2,4,2,2,4,1,"US",1
"92",5,3,2,2,5,5,5,4,5,3,3,2,3,4,4,3,2,4,5,4,4,1,4,4,1,2,2,"US",1
"93",5,2,2,5,4,4,5,5,4,2,4,2,2,2,2,3,3,3,2,4,4,1,2,2,5,3,3,"US",1
"94",5,2,5,4,4,5,5,2,4,2,4,3,2,3,3,2,2,3,3,4,3,2,3,4,4,1,1,"US",3
"95",4,2,2,2,2,1,3,3,3,2,4,1,2,2,4,2,4,4,3,4,3,4,2,2,5,3,2,"GR",1
"96",4,4,4,3,4,2,4,4,5,4,3,4,2,3,4,2,2,4,4,2,3,3,4,3,2,3,3,"AU",3
"97",4,4,3,4,2,5,4,2,4,5,4,5,2,1,4,1,1,1,1,1,1,2,3,1,5,1,1,"US",1
"98",5,4,4,5,4,4,5,4,4,2,2,2,2,2,2,2,4,4,2,2,4,4,4,3,2,4,4,"US",2
"99",5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,1,5,5,1,5,1,5,5,1,5,5,"US",1
"100",3,4,3,4,4,5,5,3,5,4,3,1,2,4,4,1,4,3,4,4,2,3,4,3,5,2,4,"US",1
"101",5,5,4,5,5,5,4,3,5,4,5,1,4,4,5,4,1,5,3,5,2,2,4,3,5,1,3,"US",1
"102",5,2,4,4,5,4,4,3,2,4,2,4,3,4,2,2,2,2,2,2,4,2,4,3,4,2,2,"ID",3
"103",4,2,2,1,1,2,2,1,1,2,5,1,1,3,4,1,4,1,2,4,2,4,1,1,5,2,1,"US",3
"104",4,4,3,2,3,5,5,3,4,4,2,2,2,4,3,4,2,2,3,1,4,2,4,2,1,3,3,"US",1
"105",5,4,3,3,5,5,3,2,4,5,4,4,4,3,4,1,3,5,5,1,5,3,5,5,4,4,4,"ID",3
"106",3,4,5,5,4,5,4,4,5,3,3,4,4,3,4,4,3,5,4,4,2,4,4,4,4,1,4,"SG",3
"107",3,5,5,5,5,5,4,5,5,4,1,4,5,5,1,4,1,5,4,4,3,4,5,3,5,2,4,"CA",3
"108",5,4,1,3,5,5,5,3,4,1,5,2,2,2,2,1,2,2,5,2,1,2,4,5,3,3,4,"US",1
"109",5,2,2,5,4,3,4,2,3,3,3,2,3,3,2,3,5,2,2,3,2,1,2,2,5,1,2,"ID",3
"110",2,5,5,5,4,5,4,4,4,4,5,4,3,4,2,4,3,4,4,4,4,4,4,4,5,1,4,"SG",1
"111",5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,1,5,5,2,5,1,5,3,5,1,5,"US",1
"112",4,4,4,1,2,4,5,3,4,5,3,1,4,4,3,3,2,4,2,3,1,2,4,2,5,3,4,"FR",2
"113",4,2,3,4,4,4,5,2,4,5,2,4,1,4,5,2,4,2,4,2,1,2,5,2,2,5,2,"US",1
"114",5,4,3,2,5,4,5,3,5,1,1,4,1,1,1,1,1,2,5,2,4,4,5,5,1,1,2,"US",1
"115",5,5,5,4,5,5,5,5,5,2,4,3,2,3,1,4,2,5,5,3,3,2,5,5,1,1,5,"US",1
"116",4,2,2,3,2,2,4,2,2,3,3,2,2,4,4,2,4,3,2,4,2,2,2,2,4,2,2,"AU",1
"117",5,5,4,3,4,4,5,4,5,5,4,3,3,4,3,4,1,5,3,2,3,4,4,4,2,4,5,"GB",1
"118",5,2,2,4,4,4,4,2,2,4,2,4,4,4,4,4,2,5,4,4,2,2,4,4,5,1,4,"ID",3
"119",4,4,3,1,4,5,3,3,4,3,2,3,2,4,3,2,1,5,4,5,2,3,5,4,4,3,3,"GB",2
"120",4,3,4,1,5,4,5,1,5,5,5,1,1,4,5,3,1,5,1,1,3,4,4,3,1,3,4,"US",1
"121",5,4,3,3,4,4,4,3,5,4,1,5,3,5,3,5,2,5,4,3,4,3,5,4,4,2,4,"US",1
"122",4,1,1,2,1,1,4,2,4,1,5,1,1,1,4,2,4,3,1,4,1,1,3,2,5,1,1,"AU",1
"123",5,5,3,4,5,5,5,5,5,4,2,3,3,5,2,5,2,5,4,2,5,4,5,4,3,5,5,"US",1
"124",5,4,4,4,4,4,4,4,4,3,4,3,2,4,3,4,3,2,3,4,2,3,4,3,4,1,3,"GB",1
"125",4,4,3,4,5,5,4,4,5,5,5,2,3,3,4,4,1,5,5,4,2,3,5,5,5,1,4,"NZ",1
"126",4,3,4,5,5,5,5,3,3,2,4,4,3,4,5,2,2,3,2,4,2,2,4,4,5,1,4,"AU",3
"127",4,2,4,4,4,5,4,3,3,4,3,3,4,4,3,4,4,2,2,4,3,1,4,3,4,4,2,"ID",3
"128",2,1,2,2,1,2,4,2,2,1,5,3,2,1,3,1,4,3,4,5,2,2,4,1,4,1,2,"SE",3
"129",5,4,1,3,5,5,5,5,5,1,4,1,4,1,4,4,1,4,5,4,2,2,4,3,5,3,4,"US",1
"130",4,4,2,5,2,2,5,4,4,4,3,2,5,4,2,3,1,4,4,4,3,3,4,2,4,4,4,"DE",1
"131",5,4,3,2,5,5,5,3,4,2,3,3,2,3,3,3,4,5,3,3,5,3,4,4,5,1,3,"GB",3
"132",2,3,3,5,3,3,5,3,3,3,3,2,2,3,4,2,4,3,3,4,3,2,3,3,2,1,2,"MY",1
"133",2,4,5,4,4,4,4,3,4,5,2,4,2,5,3,4,2,3,3,4,2,1,4,4,4,1,3,"GB",1
"134",2,4,4,2,4,5,4,4,5,4,3,2,4,4,2,2,4,4,4,3,2,2,5,4,4,4,3,"DE",1
"135",4,3,3,4,4,4,4,4,3,4,3,4,4,4,3,3,2,3,4,3,4,2,4,3,3,4,3,"ID",3
"136",4,1,2,4,1,1,4,1,2,2,4,4,4,3,2,1,2,2,1,5,1,1,2,3,5,1,1,"GB",1
"137",5,3,2,3,4,3,3,4,3,3,3,4,3,4,3,3,2,4,1,5,1,1,1,3,4,3,2,"US",3
"138",4,3,3,3,3,4,3,4,5,3,2,3,3,5,2,4,1,4,2,1,2,3,4,3,1,5,2,"GB",1
"139",4,5,5,5,5,4,5,4,5,2,3,3,2,5,2,4,2,4,4,2,5,4,5,5,5,2,4,"GB",1
"140",4,3,3,2,2,3,4,4,4,2,2,2,2,3,4,1,4,2,1,4,2,2,4,2,5,2,1,"GB",1
"141",5,2,3,4,3,3,4,4,3,4,2,3,3,3,3,3,3,3,3,2,3,3,3,3,4,1,3,"ID",3
"142",5,2,4,3,2,2,4,3,3,3,3,4,3,4,2,3,3,3,2,5,1,1,3,3,4,2,2,"ID",3
"143",5,4,4,4,4,4,4,2,4,3,3,3,3,3,2,3,1,2,5,2,4,3,3,3,2,4,2,"GB",1
"144",4,5,4,5,5,4,4,2,2,3,4,3,3,3,5,3,3,3,3,3,3,3,5,5,3,1,4,"AU",1
"145",2,1,2,3,1,3,4,4,3,1,2,1,2,3,2,2,4,3,1,3,2,1,2,3,5,2,2,"SE",1
"146",2,4,2,3,4,4,4,4,4,4,1,4,3,2,3,4,1,5,2,2,2,4,3,2,3,2,2,"SE",1
"147",4,4,3,2,5,4,4,3,4,2,4,2,4,4,3,4,2,4,4,3,4,3,4,5,5,5,2,"SE",3
"148",4,3,5,4,5,5,5,3,3,3,4,3,3,5,2,3,3,4,2,4,4,2,3,4,4,1,3,"AU",2
"149",4,4,2,4,3,4,4,3,4,3,4,2,3,4,4,2,2,4,2,5,2,1,4,2,2,2,2,"US",3
"150",4,4,3,2,4,4,4,2,3,3,3,3,2,3,3,4,3,3,3,3,2,3,2,3,2,1,2,"GB",1
"151",5,5,5,5,5,5,5,4,5,4,4,3,2,4,4,3,4,4,4,1,1,3,5,5,2,5,2,"US",1
"152",4,5,5,4,4,1,5,2,4,2,5,2,4,5,5,5,5,5,4,5,1,1,1,1,5,1,2,"AU",1
"153",5,4,4,4,4,4,5,4,4,4,1,4,3,4,3,3,3,5,3,3,4,2,4,3,1,1,4,"GB",1
"154",4,4,3,4,1,4,4,4,5,1,5,2,3,4,4,4,5,4,3,4,4,1,2,3,5,1,3,"US",1
"155",4,4,3,4,4,4,4,4,5,4,2,2,0,4,2,4,2,3,3,3,2,2,4,3,5,1,4,"GB",1
"156",1,3,3,4,4,2,4,1,2,2,1,2,1,4,1,2,4,2,4,2,2,3,1,1,1,2,2,"NL",3
"157",4,2,2,3,2,2,4,1,2,2,4,2,2,2,3,4,1,3,5,3,3,3,3,2,5,4,2,"GB",1
"158",4,2,2,3,1,2,4,2,3,3,2,2,1,4,5,1,4,2,2,4,1,2,4,1,2,2,2,"GB",1
"159",4,4,5,2,5,5,5,4,4,3,2,3,3,5,3,1,1,2,4,2,2,1,5,2,5,1,5,"GB",1
"160",5,5,3,1,5,4,5,5,5,5,1,5,5,2,1,4,1,5,5,3,2,5,5,5,2,5,4,"HR",1
"161",2,4,3,4,4,4,4,2,3,2,4,3,2,4,2,1,1,4,2,4,2,2,3,2,5,3,2,"GB",1
"162",5,2,2,3,2,2,4,4,5,2,4,2,2,2,3,2,4,2,4,4,2,2,3,2,4,2,2,"HR",3
"163",4,2,4,2,4,5,5,3,4,4,2,4,3,5,2,4,2,3,3,2,1,3,4,3,1,4,2,"EU",1
"164",4,5,4,4,5,5,5,4,5,3,1,4,3,4,2,3,4,4,5,2,2,2,5,4,1,4,5,"HR",3
"165",5,3,5,5,4,3,5,4,5,3,5,3,2,4,2,2,4,3,3,2,2,1,3,4,4,5,4,"EU",1
"166",1,5,5,2,3,4,5,4,5,4,3,4,3,5,3,5,3,4,2,2,1,3,4,2,2,3,4,"US",3
"167",4,5,4,5,4,5,5,4,5,4,3,4,4,4,4,4,2,3,1,5,3,1,4,3,5,1,1,"NL",3
"168",4,2,4,4,2,4,4,2,2,4,3,3,1,4,4,2,4,2,2,4,2,2,3,2,3,2,1,"BA",3
"169",3,5,4,4,4,4,4,1,5,4,3,2,4,4,5,3,5,4,3,4,2,4,4,2,2,4,4,"US",1
"170",3,5,4,4,4,5,4,2,4,4,2,3,3,4,4,4,2,5,4,3,2,2,2,3,2,3,4,"ID",3
"171",5,5,4,3,4,5,5,4,5,4,2,3,3,4,1,5,1,4,5,2,4,3,4,4,2,5,4,"US",3
"172",4,1,2,4,2,3,3,3,3,1,1,3,3,3,4,3,4,1,1,5,2,1,2,2,2,3,1,"AU",1
"173",5,5,5,2,4,5,5,3,5,3,1,2,1,3,5,1,3,5,4,1,1,4,5,5,3,5,5,"HR",3
"174",4,2,2,3,2,4,5,4,4,2,4,2,1,1,3,2,3,3,4,4,4,1,4,4,5,2,1,"GB",1
"175",5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,1,5,1,5,5,5,5,5,1,5,"GB",1
"176",4,3,4,4,3,4,4,3,4,5,2,3,3,4,3,3,1,3,4,3,2,2,4,2,4,3,4,"GB",1
"177",5,4,3,3,4,4,5,4,5,4,3,3,2,2,5,2,2,3,4,3,2,2,5,3,4,3,4,"GB",1
"178",4,4,4,4,4,4,4,2,4,2,1,2,1,2,4,1,4,2,2,4,4,1,3,2,2,2,2,"GB",1
"179",4,4,2,4,3,2,4,2,5,3,3,3,1,4,1,4,2,3,4,4,3,2,4,2,3,4,2,"DE",3
"180",4,4,3,4,5,5,4,3,5,3,4,2,4,3,3,3,1,4,4,4,2,3,4,5,4,3,3,"GB",1
"181",3,2,4,4,4,4,5,2,4,3,3,2,5,3,4,3,2,4,4,2,2,2,4,3,5,1,2,"GB",1
"182",4,4,4,5,4,2,5,3,4,4,3,2,3,4,2,3,1,4,2,4,1,1,3,2,5,1,2,"US",3
"183",5,4,4,3,3,4,4,3,5,3,4,2,4,5,2,5,2,4,3,2,2,4,4,2,1,5,4,"US",1
"184",4,5,4,4,5,5,4,5,5,2,3,4,3,4,4,1,3,5,3,4,3,1,5,2,5,3,3,"DE",1
"185",4,4,3,5,5,5,5,4,5,2,2,3,4,3,1,4,1,4,2,4,2,2,3,5,5,4,3,"GB",1
"186",4,4,2,4,3,4,5,3,4,4,4,2,2,3,2,2,4,2,3,3,2,2,5,3,5,3,3,"GB",1
"187",4,4,4,2,4,5,4,5,5,4,3,2,2,5,4,4,2,4,4,1,2,4,5,3,1,5,4,"GB",1
"188",4,4,4,4,5,5,5,3,5,3,3,4,3,4,3,4,5,4,5,4,5,2,3,4,5,5,2,"IE",1
"189",3,1,3,4,2,2,3,2,2,3,4,4,4,4,4,4,2,3,2,2,2,1,1,1,5,2,2,"GB",3
"190",4,4,3,2,4,4,5,2,0,3,3,2,2,3,4,1,4,4,4,4,2,1,4,4,4,2,3,"GB",1
"191",5,5,2,4,5,5,5,5,5,2,2,4,4,5,2,5,1,5,5,4,2,1,5,4,5,4,5,"CZ",1
"192",4,2,3,2,5,3,4,3,4,2,2,3,3,4,3,3,1,1,1,4,3,3,3,2,2,2,1,"US",3
"193",5,4,4,4,4,5,5,4,4,2,2,3,4,4,3,5,2,4,4,3,3,4,4,2,2,1,5,"GB",1
"194",1,1,2,4,2,4,4,3,5,1,4,3,2,3,5,3,1,2,3,3,2,2,3,2,2,1,1,"SE",3
"195",5,5,5,5,5,5,5,4,5,3,3,3,4,4,1,4,2,3,3,2,1,1,4,4,5,3,3,"GB",1
"196",4,4,2,5,4,1,5,2,5,2,2,2,4,2,2,1,2,1,1,4,2,2,4,1,1,4,1,"US",1
"197",2,2,3,4,5,4,4,1,5,3,2,1,1,4,1,2,2,4,3,3,1,1,2,4,4,3,1,"PT",1
"198",5,3,5,5,3,5,5,2,3,4,5,4,2,3,5,2,2,3,5,4,2,1,2,4,1,1,2,"FR",1
"199",5,5,5,4,5,5,5,5,5,5,2,5,5,4,1,3,1,5,2,4,5,2,5,5,5,1,5,"RO",3
"200",4,1,2,3,1,3,5,4,4,2,5,1,2,1,5,2,2,2,1,2,1,2,3,2,5,1,1,"US",1
"201",2,1,2,4,3,4,4,2,4,2,3,2,2,3,2,2,4,2,2,3,3,1,3,2,4,1,1,"NL",3
"202",3,5,4,5,5,5,5,4,5,4,4,2,2,4,2,2,3,4,2,1,5,4,3,4,1,4,2,"US",1
"203",5,4,4,4,3,3,4,4,5,3,2,2,2,4,4,2,4,4,2,4,4,2,4,3,4,5,2,"US",1
"204",5,4,3,4,4,5,5,1,5,2,3,3,4,4,2,5,1,5,5,1,5,3,3,4,1,5,5,"US",1
"205",2,2,2,3,2,2,3,2,3,4,4,2,2,2,4,2,4,3,1,4,2,2,2,2,4,1,1,"US",1
"206",5,3,4,2,5,5,5,3,3,2,5,3,4,2,5,2,5,3,3,4,3,3,5,3,5,3,4,"US",3
"207",4,2,2,2,1,1,4,2,3,2,4,2,2,2,4,4,4,3,2,4,1,1,3,2,4,1,2,"US",1
"208",5,5,4,4,5,4,5,4,4,3,5,1,1,2,4,1,4,4,4,1,5,4,5,5,3,5,5,"US",1
"209",5,5,5,4,5,5,4,5,4,4,4,4,5,4,4,2,1,2,4,1,4,4,5,3,4,2,4,"GB",1
"210",1,2,4,1,2,1,2,1,3,5,1,2,3,2,5,1,2,5,1,4,1,1,1,1,5,1,1,"US",1
"211",5,4,5,4,4,5,5,4,4,2,2,2,4,4,1,1,2,4,5,4,5,3,3,2,2,2,3,"US",1
"212",2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,4,2,4,1,2,4,2,5,2,2,"GB",1
"213",2,4,4,3,4,2,3,3,4,3,2,3,4,4,1,4,2,4,3,3,1,3,3,2,1,3,3,"GB",1
"214",4,3,2,1,1,1,4,1,2,1,5,1,1,2,4,1,2,1,2,4,1,2,4,2,1,1,1,"US",1
"215",4,2,1,4,4,3,4,1,4,3,2,2,2,3,4,4,4,2,1,2,1,3,4,2,2,4,1,"GB",1
"216",4,2,2,2,2,3,4,2,2,3,2,2,2,2,2,3,2,3,2,4,2,2,3,3,5,2,2,"GB",2
"217",2,2,2,2,2,4,4,2,4,4,3,2,2,2,4,2,3,3,3,2,2,2,3,2,2,2,2,"GB",1
"218",5,5,4,5,5,5,5,5,5,5,5,4,3,4,2,4,1,5,5,2,4,3,5,5,2,4,5,"GB",3
"219",2,2,2,4,3,1,4,3,3,1,4,1,2,3,4,2,3,2,3,4,2,3,3,2,2,3,1,"NO",3
"220",4,2,3,3,3,4,5,3,4,2,5,3,3,4,4,4,2,3,3,2,5,1,5,4,3,1,1,"US",2
