"","HSNS1","HSNS2","HSNS3","HSNS4","HSNS5","HSNS6","HSNS7","HSNS8","HSNS9","HSNS10","DDP1","DDP2","DDP3","DDP4","DDN1","DDN2","DDN3","DDN4","DDM1","DDM2","DDM3","DDM4","age","gender","accuracy","country"
"81",4,5,5,2,4,5,5,3,5,1,1,2,2,5,5,4,5,4,4,4,5,1,20,2,90,"US"
"82",5,4,4,3,4,5,2,5,5,4,5,5,5,5,5,4,5,4,4,5,5,4,30,2,95,"US"
"83",5,5,5,2,2,5,5,2,5,2,4,2,3,5,5,1,1,2,4,4,4,3,19,1,90,"US"
"84",2,5,2,2,3,4,4,3,3,2,1,2,2,4,5,4,4,3,4,4,4,2,22,1,94,"US"
"85",5,3,2,4,1,5,4,2,4,1,4,2,4,5,2,2,2,3,2,4,4,2,20,1,85,"US"
"86",4,5,3,4,3,5,5,4,5,2,1,2,2,3,5,5,5,4,3,5,5,2,0,0,75,"US"
"87",4,4,5,1,2,4,4,1,1,1,3,2,3,3,4,3,2,2,4,4,3,2,0,2,80,"US"
"88",3,2,4,5,1,5,4,2,4,1,4,3,3,4,5,5,5,3,4,5,3,4,17,1,95,"AU"
"89",5,1,3,4,5,5,3,5,5,1,5,5,5,5,5,3,5,5,5,5,3,5,27,1,95,"US"
"90",4,5,5,5,2,5,1,2,5,3,3,3,2,3,5,1,3,4,1,4,1,1,15,1,95,"AU"
"91",4,3,4,2,3,4,3,4,3,2,4,3,4,4,2,1,2,2,3,4,2,3,24,1,100,"US"
"92",4,4,5,3,4,4,4,4,5,4,4,3,2,4,4,2,4,4,4,4,2,3,17,2,75,"HR"
"93",4,4,4,3,4,0,5,4,2,2,4,3,5,5,4,3,3,5,4,5,3,4,32,2,90,"MY"
"94",5,4,4,2,3,5,4,4,5,3,1,5,4,5,1,1,2,2,3,5,3,1,29,1,85,"US"
"95",4,3,2,3,4,4,3,4,4,4,3,5,3,4,4,4,3,3,4,4,4,3,40,2,70,"AU"
"96",5,5,5,4,4,5,0,5,4,5,4,4,5,5,4,4,5,3,5,4,5,4,17,1,100,"US"
"97",5,5,5,5,4,4,5,5,5,4,4,3,4,4,5,5,4,5,5,5,5,4,13,2,76,"US"
"98",3,2,2,2,4,3,3,2,3,2,1,2,3,4,4,4,3,2,4,1,4,3,59,1,85,"IT"
"99",5,2,4,4,5,5,3,4,5,4,5,5,4,5,4,3,5,4,4,5,3,4,20,1,90,"US"
"100",4,4,5,2,3,5,2,2,4,2,2,1,1,5,3,2,2,2,2,1,2,1,37,1,90,"US"
"101",4,4,2,2,2,3,4,2,3,2,2,1,1,3,3,3,2,3,2,2,2,2,53,2,90,"US"
"102",1,1,4,3,3,5,1,3,3,3,3,3,3,4,1,1,1,1,4,4,3,4,19,1,90,"US"
"103",5,5,5,5,4,5,5,4,5,4,3,3,3,5,4,4,3,4,3,4,4,2,37,2,90,"DE"
"104",5,2,4,5,5,4,3,4,5,4,4,5,4,5,5,4,4,4,4,4,4,4,20,1,95,"US"
"105",2,1,2,2,4,3,3,3,2,4,4,2,4,5,2,1,3,1,2,4,2,1,21,1,90,"US"
"106",5,5,5,4,5,5,5,5,5,3,5,5,2,5,5,5,3,5,4,5,3,4,37,1,95,"IL"
"107",4,2,4,2,4,4,3,4,2,2,2,1,4,4,4,3,3,2,2,4,2,2,23,2,95,"US"
"108",5,5,5,5,5,5,5,5,5,3,4,1,4,5,5,5,5,3,4,4,3,1,18,2,70,"US"
"109",2,2,3,1,2,3,4,2,4,1,1,1,2,3,4,3,2,4,2,4,2,2,19,2,83,"US"
"110",4,3,4,5,4,3,4,2,4,4,2,1,3,3,0,3,4,4,2,4,2,3,15,1,90,"US"
"111",2,4,3,2,3,3,4,2,4,2,1,2,2,3,4,3,2,2,4,4,4,2,24,2,100,"US"
"112",5,4,4,4,4,5,4,4,4,4,5,5,5,4,2,2,3,3,5,5,5,3,13,2,85,"US"
"113",5,1,3,4,5,4,3,4,5,3,5,4,4,4,4,4,3,4,4,4,4,4,34,1,90,"GR"
"114",4,1,1,5,5,5,3,4,3,5,3,5,4,5,2,2,3,3,4,5,4,2,37,2,100,"US"
"115",4,2,3,1,4,4,3,2,4,3,4,3,3,4,2,4,2,4,3,4,4,1,49,2,60,"US"
"116",5,5,5,3,3,2,4,5,3,2,1,3,2,5,5,3,5,1,3,5,5,3,48,1,100,"US"
"117",5,5,4,4,5,5,4,4,5,4,3,3,2,4,4,5,2,3,4,5,4,2,28,2,85,"US"
"118",5,5,5,1,2,4,5,5,5,1,1,2,1,4,3,5,1,1,2,2,1,1,43,2,90,"US"
"119",3,3,4,3,2,4,4,3,4,3,3,3,3,3,5,4,4,4,4,4,4,2,17,2,75,"US"
"120",5,4,5,5,2,5,4,4,5,1,5,4,3,5,5,5,4,4,5,5,4,4,16,2,100,"US"
"121",4,4,4,3,3,4,4,3,4,2,2,2,3,4,5,4,4,2,2,3,2,2,19,2,90,"US"
"122",4,3,5,5,4,5,4,3,3,2,2,1,4,4,5,3,4,1,4,4,1,3,23,1,80,"PK"
"123",5,2,3,4,4,4,4,5,5,5,3,3,4,2,4,3,3,2,4,5,4,3,15,2,97,"CA"
"124",5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,13,1,100,"US"
"125",3,4,4,2,3,5,5,5,1,3,5,4,5,5,2,2,1,2,4,5,3,4,18,2,97,"US"
"126",5,1,4,2,5,5,3,5,4,5,5,4,5,5,4,4,4,0,5,5,4,4,19,1,95,"NO"
"127",5,2,3,2,3,3,3,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,22,1,85,"DK"
"128",4,1,1,4,2,4,2,4,5,3,1,1,4,5,4,3,3,2,3,1,4,1,33,2,60,"SG"
"129",3,1,5,4,5,5,1,5,3,5,5,5,5,4,3,4,4,3,5,5,3,5,19,1,100,"BA"
"130",5,5,5,4,3,4,4,3,5,2,1,1,2,4,5,5,3,3,4,3,2,2,22,2,20,"IN"
"131",4,4,2,4,4,4,4,1,2,4,4,2,4,5,4,3,3,2,3,4,2,2,26,2,90,"US"
"132",2,5,3,2,3,4,4,2,4,1,3,2,3,4,1,1,1,2,2,2,1,2,35,1,100,"US"
"133",5,4,1,4,5,5,4,4,4,5,4,3,4,5,2,2,2,2,3,2,2,2,22,1,80,"CA"
"134",5,3,2,5,5,3,2,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,20,2,100,"US"
"135",5,5,5,2,4,5,5,5,5,4,4,1,5,5,5,2,1,2,3,5,4,4,18,1,85,"GB"
"136",4,3,5,3,4,4,5,4,3,1,4,5,5,5,3,4,3,4,3,5,3,2,17,1,70,"GB"
"137",4,3,4,1,3,5,4,4,2,3,3,3,3,2,4,4,3,2,4,4,3,2,23,2,86,"FI"
"138",4,2,4,2,2,4,4,2,4,4,5,4,5,5,4,4,2,2,2,4,4,2,24,1,95,"US"
"139",2,2,2,0,2,2,3,2,1,2,2,2,3,3,4,4,2,2,4,4,4,2,22,2,20,"CA"
"140",5,1,3,4,5,5,3,5,5,5,4,4,4,5,5,3,5,1,2,5,5,1,23,1,92,"US"
"141",3,3,4,3,4,4,5,3,5,2,2,3,3,1,4,3,4,2,3,4,3,3,23,2,80,"RO"
"142",5,2,0,3,3,4,3,5,4,3,5,5,4,4,5,5,5,4,5,5,5,4,25,2,100,"US"
"143",5,4,5,4,5,4,2,5,5,4,4,5,4,5,5,4,5,4,4,4,5,4,15,1,95,"AU"
"144",3,2,4,2,2,5,3,2,2,3,5,2,4,5,4,4,3,1,2,5,3,3,15,2,80,"US"
"145",5,5,5,2,3,5,5,5,5,4,1,2,3,5,1,1,4,3,4,4,2,3,14,1,75,"GB"
"146",4,4,4,2,3,4,4,2,4,1,1,2,2,3,3,1,1,2,2,3,1,1,23,2,80,"US"
"147",4,5,5,4,4,4,5,4,5,3,4,4,4,4,5,5,2,4,3,4,3,2,31,2,89,"US"
"148",3,2,4,4,5,4,3,4,4,2,4,5,4,5,4,4,4,4,5,5,5,4,27,1,90,"IN"
"149",1,5,1,1,2,3,5,5,4,1,2,4,4,2,4,4,1,4,5,5,5,3,35,2,90,"US"
"150",5,4,2,4,4,5,3,2,5,1,4,1,1,5,5,2,4,2,4,4,4,4,26,1,85,"US"
"151",2,1,5,2,3,4,2,2,4,2,1,2,1,4,3,1,1,2,3,4,1,2,20,2,100,"US"
"152",4,4,2,2,2,4,4,4,4,4,2,2,2,5,4,4,1,3,5,4,2,3,25,1,80,"RU"
"153",5,3,3,2,4,5,4,5,5,3,4,2,4,5,3,4,4,3,4,2,5,4,34,2,70,"SE"
"154",4,4,4,4,2,4,3,3,4,1,2,1,4,4,4,4,1,3,2,1,2,2,28,2,80,"DE"
"155",4,5,5,5,4,5,3,4,5,2,4,4,3,5,5,4,4,4,2,2,2,2,17,2,100,"GB"
"156",5,4,4,1,3,3,3,3,1,1,1,1,1,4,1,1,1,1,1,1,3,1,29,2,90,"GB"
"157",5,5,4,3,2,4,5,3,4,2,2,2,2,3,4,3,3,2,2,4,2,2,36,2,50,"GB"
"158",2,3,3,3,2,4,4,2,5,1,2,1,2,4,3,2,2,2,2,3,2,2,20,2,100,"US"
"159",4,1,4,2,1,5,2,1,2,3,4,1,5,5,4,4,5,4,5,5,5,4,20,1,100,"US"
"160",4,3,2,3,4,5,2,3,4,2,3,2,4,4,4,4,3,2,2,3,2,2,25,1,70,"US"
"161",4,1,1,2,5,4,3,2,2,3,4,3,4,4,2,2,2,1,4,4,4,4,22,1,100,"US"
"162",4,4,5,2,3,4,3,4,4,2,1,1,3,4,2,2,2,3,1,1,2,1,51,2,92,"AU"
"163",1,2,2,1,1,1,4,1,1,1,1,1,2,4,3,4,1,1,1,4,3,1,20,1,75,"US"
"164",5,5,3,5,5,5,5,5,5,4,4,4,5,5,4,3,5,5,5,5,5,5,20,2,95,"CA"
"165",3,3,3,2,5,4,3,2,4,1,3,1,4,3,3,3,3,3,3,2,3,2,52,1,90,"CA"
"166",3,2,2,1,3,4,2,4,1,2,4,4,4,4,1,1,1,2,3,4,2,2,57,1,70,"FI"
"167",5,4,2,3,3,4,2,1,4,1,4,4,4,5,4,3,4,3,5,5,4,4,15,2,75,"AU"
"168",5,5,3,5,5,5,4,5,5,3,4,4,4,5,5,4,3,5,4,4,5,4,55,1,100,"GB"
"169",4,5,4,2,2,4,5,2,4,2,1,2,2,2,4,4,2,2,4,4,4,2,15,2,90,"US"
"170",5,2,5,3,5,5,2,2,5,4,5,4,5,5,2,3,4,4,5,4,3,3,15,1,85,"BR"
"171",4,5,4,5,3,3,4,3,4,2,3,3,2,5,5,4,4,4,1,5,3,3,20,2,75,"US"
"172",3,2,4,3,3,5,4,3,4,2,4,2,4,4,4,2,2,2,4,4,1,3,19,1,90,"US"
"173",4,3,4,4,2,2,4,4,5,3,4,2,4,4,5,4,5,4,4,5,4,4,15,1,100,"US"
"174",1,3,5,3,1,5,5,1,4,1,1,1,2,3,5,5,1,3,3,4,5,1,32,2,50,"US"
"175",5,3,1,1,5,5,1,5,1,2,3,5,2,2,5,5,5,3,5,5,5,5,28,1,85,"US"
"176",5,4,5,2,3,4,3,5,5,2,4,1,4,4,5,5,4,1,3,3,5,1,0,2,85,"US"
"177",5,2,5,3,3,1,3,4,5,2,1,3,4,4,4,4,5,4,5,4,5,5,21,1,90,"CA"
"178",3,2,2,2,2,5,3,3,4,2,1,1,2,2,4,3,3,2,1,1,2,2,19,1,100,"US"
"179",2,3,2,2,4,4,3,2,4,2,1,1,1,1,3,3,1,1,2,1,1,1,25,1,95,"EC"
"180",4,4,4,2,5,5,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,33,1,90,"US"
"181",4,1,3,3,4,4,2,4,2,2,4,2,4,4,4,2,3,2,4,5,2,2,24,2,85,"PH"
"182",4,2,4,3,3,4,2,4,4,4,2,3,4,4,4,3,2,3,3,4,2,4,48,1,90,"US"
"183",5,4,4,1,4,5,4,4,5,1,4,3,2,5,4,4,5,2,4,5,5,5,24,1,70,"SG"
"184",2,2,4,4,1,4,1,2,4,1,1,2,2,1,4,2,1,1,2,4,3,1,63,2,90,"US"
"185",3,1,4,2,3,4,2,3,2,3,1,1,3,4,1,2,3,3,2,3,3,1,49,2,90,"US"
"186",4,3,4,4,3,4,4,4,5,3,3,2,5,4,3,3,4,4,4,4,1,4,24,1,70,"IN"
"187",2,1,3,2,3,5,2,4,2,5,5,3,5,4,1,1,2,2,3,4,2,2,19,1,97,"US"
"188",3,2,2,2,4,2,4,3,4,3,2,2,3,2,5,4,4,4,3,4,4,2,38,1,90,"CA"
"189",1,4,3,1,5,4,5,1,1,5,1,1,4,5,1,1,1,1,1,2,1,1,42,2,85,"US"
"190",4,1,4,3,4,4,2,4,3,5,4,3,4,4,3,3,3,2,3,2,4,2,25,1,85,"GB"
"191",2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,31,1,80,"US"
"192",5,2,1,2,4,2,4,3,3,4,2,1,5,4,5,5,4,2,4,2,4,2,34,1,90,"NL"
"193",3,2,3,1,2,5,1,5,4,3,4,2,4,5,4,3,5,2,3,2,1,1,21,1,95,"ZA"
"194",4,4,2,1,2,2,1,3,4,4,4,1,2,5,4,4,4,3,1,1,3,1,21,1,80,"US"
"195",4,2,3,2,3,4,3,4,2,4,3,2,4,4,2,3,2,2,2,4,2,1,24,2,88,"US"
"196",5,2,3,4,3,3,5,3,4,2,3,1,5,3,5,5,5,3,3,5,5,2,25,1,100,"US"
"197",4,1,1,2,2,5,5,5,2,5,1,1,5,5,5,5,5,3,4,5,1,5,22,1,90,"DO"
"198",4,4,3,2,3,4,4,3,2,2,1,1,2,5,3,3,1,1,1,1,2,1,42,2,70,"NZ"
"199",1,5,2,1,1,4,4,1,3,1,1,1,1,1,4,4,1,1,1,1,1,1,29,2,80,"AU"
"200",4,4,2,2,2,0,5,2,4,2,2,3,2,4,4,4,3,2,1,2,3,1,44,2,50,"IE"
"201",0,4,4,1,2,4,2,2,4,1,1,2,1,2,4,3,2,1,2,4,2,1,40,1,90,"NL"
"202",3,3,3,2,3,3,3,4,2,4,1,2,2,2,2,3,3,2,1,2,2,1,35,2,95,"US"
"203",5,1,4,2,5,4,1,4,2,5,2,1,5,4,1,1,1,1,1,1,2,1,36,2,80,"NZ"
"204",4,1,4,2,4,5,2,4,4,2,5,5,5,5,5,5,3,3,4,4,3,4,20,1,70,"US"
"205",5,2,3,5,4,5,2,5,4,3,5,2,4,4,4,5,4,4,5,5,4,3,34,1,95,"GR"
"206",3,5,4,2,3,4,1,2,3,2,4,1,4,4,3,2,3,1,3,4,3,3,18,2,90,"AU"
"207",4,1,4,2,2,5,1,2,3,1,2,1,4,2,4,1,3,2,3,4,4,3,16,2,80,"PH"
"208",4,5,4,1,1,5,5,3,5,1,3,1,4,4,4,5,2,4,5,5,4,4,38,1,80,"US"
"209",4,4,4,5,2,4,4,3,4,2,2,2,2,5,2,2,2,3,4,2,3,3,44,2,86,"CA"
"210",4,3,4,5,3,5,3,5,4,5,2,1,4,4,4,4,1,3,5,4,4,1,0,2,90,"US"
"211",5,5,5,1,2,5,5,4,1,5,4,3,2,5,4,1,4,3,4,5,5,1,40,2,100,"US"
"212",5,4,2,4,4,5,4,4,5,2,4,5,5,5,5,5,5,2,5,5,2,4,20,1,100,"RO"
"213",4,4,4,2,3,4,4,2,4,2,1,2,2,4,4,3,2,3,4,4,4,2,58,2,85,"US"
"214",2,2,2,4,4,5,2,3,4,2,4,4,4,5,4,4,4,3,4,5,4,4,22,2,80,"RO"
"215",2,2,4,2,3,4,3,2,5,3,2,3,2,4,2,1,2,1,4,4,4,4,19,1,60,"BE"
"216",3,3,4,2,2,3,4,2,3,2,1,2,2,4,4,4,2,2,3,4,4,2,28,2,60,"US"
"217",3,2,5,3,4,4,1,4,4,1,3,2,2,1,5,5,4,3,1,4,1,1,26,1,50,"FR"
"218",4,5,4,3,2,5,4,4,4,1,1,1,4,3,5,5,4,3,1,4,3,2,23,2,60,"FR"
"219",4,3,5,3,4,5,4,4,5,4,3,5,4,5,4,3,3,4,4,5,4,3,27,1,80,"US"
"220",5,4,5,5,3,5,4,5,5,5,3,2,4,5,4,4,4,4,5,4,4,4,27,2,80,"US"
"221",4,2,4,2,3,4,4,2,4,2,2,2,2,1,4,3,2,2,1,2,2,2,39,1,66,"FR"
"222",3,1,1,1,4,2,3,2,2,2,2,2,3,2,3,2,2,2,3,2,4,3,41,1,75,"FR"
"223",3,2,2,4,2,4,4,4,4,2,2,2,2,5,4,4,4,4,2,4,3,2,30,2,90,"US"
"224",1,5,1,1,1,3,4,1,4,1,1,1,1,1,3,4,1,1,1,1,1,1,29,2,90,"AU"
"225",5,3,4,2,4,5,4,5,4,4,2,5,5,5,3,3,3,3,4,5,5,3,30,1,80,"US"
"226",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,19,1,100,"IN"
"227",5,4,2,5,5,5,2,5,3,4,4,3,5,5,5,2,4,4,5,5,4,4,27,1,80,"US"
"228",0,2,2,2,4,4,2,5,4,2,2,1,2,3,4,1,4,4,4,1,2,2,22,1,75,"US"
"229",4,4,5,2,2,4,4,3,5,2,2,2,3,4,3,2,2,2,1,2,4,1,43,2,90,"GB"
"230",4,3,2,4,2,4,3,4,2,4,4,2,4,3,3,2,2,2,3,4,3,2,60,1,75,"US"
"231",3,2,2,2,2,3,2,4,3,2,2,4,4,4,3,1,2,2,2,3,2,1,20,1,50,"CL"
"232",4,2,4,3,4,4,2,3,3,3,4,3,4,3,4,3,4,3,2,4,4,2,0,0,7,"US"
"233",4,2,2,1,1,4,3,4,4,1,1,1,4,4,3,4,1,2,1,4,2,1,30,2,70,"US"
"234",5,5,5,3,4,4,4,4,4,3,2,2,2,2,5,1,1,2,2,4,2,1,19,2,95,"US"
"235",4,3,4,5,5,5,4,5,5,4,4,4,3,4,5,5,5,4,4,5,5,4,19,1,100,"US"
"236",3,2,4,2,2,5,2,4,3,3,1,1,4,4,3,1,1,2,4,2,2,4,24,1,85,"US"
"237",5,2,3,4,4,4,4,5,5,4,4,1,4,5,5,4,4,2,3,3,3,3,24,1,50,"US"
"238",5,3,5,4,5,4,5,4,5,2,2,4,3,5,5,5,4,1,4,5,5,3,26,2,80,"GR"
