"A","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","elapse","NPI_Score","AR","gender","age"
23,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,2,1,2,274,1.45,,1,31
24,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,323,1.575,,2,70
25,2,1,2,1,1,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,423,1.4,,1,60
26,1,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,497,1.575,,2,28
27,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,1,2,245,1.425,,1,19
28,1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,230,1.525,,2,26
29,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,258,1.525,,2,45
30,2,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,208,1.525,,1,51
31,1,2,2,1,1,2,2,1,1,2,1,2,2,2,1,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,265,1.45,,2,35
32,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2,1,1,2,176,1.6,,2,25
33,1,1,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2,2,1,273,1.475,,2,19
34,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,616,1.35,,1,37
35,2,2,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,163,1.55,,2,53
36,1,2,1,2,2,1,1,1,2,1,1,1,0,1,1,2,1,2,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,1,1,1,1,262,1.375,,1,22
37,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,263,1.55,,1,47
38,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,617,1.5,,2,24
39,1,2,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,0,1,1,1,1,2,1,1,2,1,0,0,2,1,2,2,2,2,1,222,1.375,,1,22
40,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,289,1.45,,3,26
41,1,2,2,0,1,2,1,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,314,1.525,,2,46
42,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,1,0,2,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,363,1.525,,1,61
43,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,247,1.5,,2,34
44,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,212,1.55,,1,21
45,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,1,2,2,1,2,2,2,2,2,2,2,1,267,1.35,,1,27
46,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1,212,1.55,,1,41
47,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,2,2,1,206,1.375,,1,24
48,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,171,1.55,,1,23
49,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,2,252,1.5,,1,22
50,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,1,201,1.45,,1,55
51,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,167,1.475,,2,22
52,1,2,2,1,1,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,2,2,2,1,1,323,1.45,,2,52
53,2,1,2,1,1,2,1,1,1,2,1,2,2,1,2,2,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,2,2,332,1.5,,2,16
54,1,2,1,1,2,2,2,1,2,2,1,1,0,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,2,1,228,1.5,,1,19
55,2,1,2,1,1,1,2,1,2,1,1,2,2,1,2,2,1,1,2,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,2,2,1,7568,1.525,,2,26
56,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,211,1.525,,2,46
57,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,210,1.35,,1,34
58,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,476,1.5,,1,22
59,1,1,2,1,2,1,2,1,2,2,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,1,2,1,2,2,1,1,2,2,2,167,1.55,,1,27
60,1,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,138,1.525,,2,49
61,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,1,2,241,1.5,,1,36
62,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,0,1,2,1,2,2,1,281,1.45,,2,23
63,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,2,1,2,2,206,1.575,,1,20
64,1,2,2,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,0,1,2,2,1,2,1,0,2,1,142,1.375,,1,17
65,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,177,1.5,,2,21
66,2,2,1,1,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,431,1.525,,3,19
67,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,288,1.525,,1,22
68,1,2,2,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,212,1.475,,1,22
69,2,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,252,1.525,,1,21
70,1,1,2,1,2,1,1,1,2,1,0,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,2,1,2,1,2,167,1.4,,1,29
71,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,2,1,1,194,1.475,,1,20
72,1,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,2,2,1,161,1.55,,1,43
73,2,2,2,1,1,2,1,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,240,1.575,,2,31
74,1,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,2,327,1.425,,2,19
75,1,2,2,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,1,2,309,1.4,,1,59
76,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,384,1.5,,1,28
77,2,2,2,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,280,1.625,,1,55
78,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,172,1.4,,1,52
79,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,358,1.475,,2,54
80,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,344,1.6,,1,48
81,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,2,1,2,234,1.55,,1,27
82,1,2,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,340,1.55,,1,40
83,2,2,2,1,1,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,228,1.475,,2,55
84,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,2,1,2,1,2,2,1,300,1.45,,2,31
85,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,1,196,1.525,,2,37
86,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,186,1.6,,1,18
87,1,2,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,247,1.5,,1,23
88,1,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,701,1.525,,2,44
89,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,279,1.55,,2,56
90,2,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,1,271,1.55,,1,20
91,2,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,263,1.525,,2,25
92,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,0,0,2,2,1,1,2,1,0,2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,194,1.425,,1,63
93,2,1,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,287,1.325,,1,34
94,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,1,2,255,1.475,,1,30
95,2,2,2,1,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,1,286,1.55,,2,30
96,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,526,1.575,,1,58
97,2,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,167,1.6,,1,43
98,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,178,1.5,,1,24
99,1,2,2,1,2,2,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,169,1.55,,1,45
100,2,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,1,230,1.55,,2,27
101,1,2,2,1,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,257,1.525,,2,28
102,1,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,1,240,1.425,,2,58
103,1,2,2,1,2,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,1,2,0,2,1,2,1,1,296,1.45,,1,20
104,1,1,1,2,2,1,2,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,2,338,1.4,,1,30
105,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,495,1.675,,2,47
106,1,2,2,1,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,227,1.425,,1,41
107,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,1,1,1,2,1,2,2,2,2,1,349,1.5,,1,16
108,1,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,494,1.575,,2,63
109,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,301,1.375,,1,23
110,1,2,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,297,1.6,,2,19
111,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,1,157,1.55,,2,25
112,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1,2,1,1,1,2,2,1,2,2,2,307,1.6,,1,40
113,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,141,1.525,,1,50
114,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,221,1.5,,2,33
115,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,243,1.575,,2,44
116,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,256,1.625,,2,23
117,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,363,1.525,,1,26
118,1,2,2,1,1,2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,2,2,1,2,1,2,2,1,385,1.525,,2,53
119,1,1,1,1,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,1,2,2,1,1,2,2,191,1.45,,2,30
120,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,0,1,2,1,1,2,1,2,1,2,1,1,2,2,2,2,1,2,1,2,1,2,351,1.525,,2,35
121,1,2,2,1,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,2,2,1,314,1.55,,1,19
122,2,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,204,1.525,,1,26
123,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,206,1.5,,2,31
124,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,2,2,1,327,1.575,,1,42
125,1,2,2,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,316,1.4,,2,25
126,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,0,2,1,2,1,2,2,1,1,2,1,1,2,2,2,1,2,248,1.55,,1,26
127,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,1,367,1.675,,1,32
128,2,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,231,1.45,,2,22
129,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,168,1.575,,1,35
130,1,1,2,2,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,2,219,1.425,,3,49
131,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,762,1.575,,1,29
132,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,215,1.6,,1,22
133,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,1,2,2,379,1.55,,1,26
134,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,1,162,1.475,,2,51
135,2,2,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,196,1.55,,1,32
136,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,2,270,1.45,,2,19
137,1,2,2,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,158,1.575,,1,64
138,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,2,170,1.55,,1,22
139,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,179,1.525,,1,40
140,2,2,2,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,329,1.575,,2,33
141,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,191,1.55,,2,36
142,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,520,1.55,,1,42
143,1,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,2,203,1.5,,1,22
144,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,2,0,1,1,1,2,2,2,2,2,280,1.5,,1,50
145,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,1,2,224,1.45,,2,23
146,1,2,2,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,189,1.5,,1,54
